epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,30818,1.32773,0.7244,1.52137,0.75087,0.75953,0.78337,0.46021,1.34617,0.56367,1.5903,0.00905463,0.00905463,0.00905463
62,31323.6,1.33211,0.72467,1.52703,0.75043,0.76069,0.78402,0.46087,1.34442,0.56265,1.58878,0.00902395,0.00902395,0.00902395
63,31829.2,1.32745,0.72314,1.52229,0.75267,0.76026,0.78427,0.46164,1.34317,0.56165,1.5876,0.00899282,0.00899282,0.00899282
64,32339,1.32548,0.7281,1.52488,0.75369,0.75935,0.78492,0.46275,1.34203,0.56075,1.58655,0.00896127,0.00896127,0.00896127
65,32849,1.32737,0.72226,1.52395,0.87662,0.76235,0.78539,0.46324,1.34106,0.55992,1.58563,0.00892928,0.00892928,0.00892928
66,33363,1.3308,0.72536,1.51723,0.87741,0.76272,0.78571,0.46341,1.33958,0.55884,1.58444,0.00889687,0.00889687,0.00889687
67,33871.2,1.32901,0.72141,1.51631,0.87665,0.76413,0.78586,0.46361,1.33838,0.55769,1.58317,0.00886404,0.00886404,0.00886404
68,34375.2,1.32906,0.71712,1.51435,0.87688,0.76408,0.78615,0.46377,1.33742,0.55639,1.58203,0.00883079,0.00883079,0.00883079
69,34888.7,1.33032,0.71747,1.51417,0.87628,0.76527,0.78684,0.46478,1.33563,0.55532,1.58027,0.00879713,0.00879713,0.00879713
70,35399,1.32745,0.72483,1.51838,0.87571,0.76539,0.78663,0.46585,1.3338,0.55454,1.57898,0.00876305,0.00876305,0.00876305
71,35907.6,1.3242,0.71965,1.51968,0.87565,0.76546,0.78698,0.46668,1.33167,0.55345,1.57704,0.00872857,0.00872857,0.00872857
72,36418,1.32336,0.71801,1.52185,0.87627,0.76456,0.78722,0.46776,1.32991,0.55249,1.57574,0.00869368,0.00869368,0.00869368
73,36928.7,1.32098,0.71406,1.51769,0.87789,0.76465,0.78767,0.46837,1.32836,0.55152,1.57452,0.00865839,0.00865839,0.00865839
74,37439.8,1.33072,0.71327,1.52238,0.87756,0.76563,0.78805,0.46906,1.32676,0.55041,1.5733,0.00862271,0.00862271,0.00862271
75,37948.9,1.31791,0.70983,1.51473,0.87686,0.76786,0.78823,0.46963,1.3256,0.54952,1.57247,0.00858664,0.00858664,0.00858664
76,38457.1,1.32023,0.70952,1.51092,0.8779,0.76631,0.78803,0.47037,1.32412,0.54866,1.57114,0.00855018,0.00855018,0.00855018
